position	link_query
74:17:2	صعد
74:18:2	فكر
74:18:3	قدر
74:19:1	قتل
74:19:2	كيف
74:19:3	قدر
74:20:2	قتل
74:20:3	كيف
74:20:4	قدر
74:21:2	نظر
74:22:2	عبس
74:22:3	بسر
74:23:2	دبر
74:23:3	كبر
74:24:1	قول
74:24:4	إِلَّا
74:24:5	سحر
74:24:6	اثر
74:25:3	إِلَّا
74:25:4	قول
74:25:5	بشر
74:26:1	صلي
74:27:2	دري
74:28:2	بقي
74:28:4	وذر
74:29:1	لوح
74:29:2	بشر
74:30:2	تسع
74:30:3	عشر
74:31:2	جعل
74:31:3	صحب
74:31:4	نور
74:31:5	إِلَّا
74:31:6	ملك
74:31:8	جعل
74:31:9	عدد
74:31:10	إِلَّا
74:31:11	فتن
74:31:12	ٱلَّذِى
74:31:13	كفر
74:31:14	يقن
74:31:15	ٱلَّذِى
74:31:16	اتي
74:31:17	كتب
74:31:18	زيد
74:31:19	ٱلَّذِى
74:31:20	امن
74:31:21	امن
74:31:23	ريب
74:31:24	ٱلَّذِى
74:31:25	اتي
74:31:26	كتب
74:31:27	امن
74:31:28	قول
74:31:29	ٱلَّذِى
74:31:31	قلب
74:31:32	مرض
74:31:33	كفر
74:31:35	رود
74:31:36	اله
74:31:38	مثل
74:31:40	ضلل
74:31:41	اله
74:31:43	شيا
74:31:44	هدي
74:31:46	شيا
74:31:48	علم
74:31:49	جند
74:31:50	ربب
74:31:51	إِلَّا
74:31:55	إِلَّا
74:31:56	ذكر
74:31:57	بشر
74:32:2	قمر
74:33:1	ليل
74:33:2	إِذ
74:33:3	دبر
74:34:1	صبح
74:34:2	إِذَا
74:34:3	سفر
74:35:2	احد
74:35:3	كبر
74:36:1	نذر
74:36:2	بشر
74:37:2	شيا
74:37:5	قدم
74:37:7	اخر
74:38:1	كلل
74:38:2	نفس
74:38:4	كسب
74:38:5	رهن
74:39:1	إِلَّا
74:39:2	صحب
74:39:3	يمن
74:40:2	جنن
74:40:3	سال
74:41:2	جرم
74:42:2	سلك
74:43:1	قول
74:43:3	كون
74:43:5	صلو
74:44:2	كون
74:44:3	طعم
74:44:4	سكن
74:45:1	كون
74:45:2	خوض
74:45:4	خوض
74:46:1	كون
74:46:2	كذب
74:46:3	يوم
74:46:4	دين
74:47:2	اتي
74:47:3	يقن
74:48:2	نفع
74:48:3	شفع
74:48:4	شفع
74:49:4	ذكر
74:49:5	عرض
74:50:2	حمر
74:50:3	نفر
74:51:1	فرر
74:51:3	قسر
74:52:2	رود
74:52:3	كلل
74:52:4	مرا
74:52:7	اتي
74:52:8	صحف
74:52:9	نشر
74:53:4	خوف
74:53:5	اخر
74:54:3	ذكر
74:55:2	شيا
74:55:3	ذكر
74:56:2	ذكر
74:56:3	إِلَّا
74:56:5	شيا
74:56:6	اله
74:56:8	اهل
74:56:9	وقي
74:56:10	اهل
74:56:11	غفر
1:1:1	سمو
1:1:2	اله
1:1:3	رحم
1:1:4	رحم
1:2:1	حمد
1:2:2	اله
1:2:3	ربب
1:2:4	علم
1:3:1	رحم
1:3:2	رحم
1:4:1	ملك
1:4:2	يوم
1:4:3	دين
1:5:2	عبد
1:5:4	عون
1:6:1	هدي
1:6:2	صرط
1:6:3	قوم
1:7:1	صرط
1:7:2	ٱلَّذِى
1:7:3	نعم
1:7:5	غير
1:7:6	غضب
1:7:9	ضلل
111:1:1	تبب
111:1:2	يدي
111:1:3	ابو
111:1:4	لهب
111:1:5	تبب
111:2:2	غني
111:2:4	مول
111:2:6	كسب
111:3:1	صلي
111:3:2	نور
111:3:4	لهب
111:4:1	مرا
111:4:2	حمل
111:4:3	حطب
111:5:2	جيد
111:5:3	حبل
111:5:5	مسد
81:1:1	إِذَا
81:1:2	شمس
81:1:3	كور
81:2:1	إِذَا
81:2:2	نجم
81:2:3	كدر
81:3:1	إِذَا
81:3:2	جبل
81:3:3	سير
81:4:1	إِذَا
81:4:2	عشر
81:4:3	عطل
81:5:1	إِذَا
81:5:2	وحش
81:5:3	حشر
81:6:1	إِذَا
81:6:2	بحر
81:6:3	سجر
81:7:1	إِذَا
81:7:2	نفس
81:7:3	زوج
81:8:1	إِذَا
81:8:2	واد
81:8:3	سال
81:9:2	ذنب
81:9:3	قتل
81:10:1	إِذَا
81:10:2	صحف
81:10:3	نشر
81:11:1	إِذَا
81:11:2	سمو
81:11:3	كشط
81:12:1	إِذَا
81:12:2	جحم
81:12:3	سعر
81:13:1	إِذَا
81:13:2	جنن
81:13:3	زلف
81:14:1	علم
81:14:2	نفس
81:14:4	حضر
81:15:2	قسم
81:15:3	خنس
81:16:1	جري
81:16:2	كنس
81:17:1	ليل
81:17:2	إِذَا
81:17:3	عسعس
81:18:1	صبح
81:18:2	إِذَا
81:18:3	نفس
81:19:2	قول
81:19:3	رسل
81:19:4	كرم
81:20:2	قوي
81:20:3	عند
81:20:5	عرش
81:20:6	مكن
81:21:1	طوع
81:21:3	امن
81:22:2	صحب
81:22:3	جنن
81:23:2	راي
81:23:3	افق
81:23:4	بين
81:24:4	غيب
81:24:5	ضنن
81:25:3	قول
81:25:4	شطن
81:25:5	رجم
81:26:2	ذهب
81:27:3	إِلَّا
81:27:4	ذكر
81:27:5	علم
81:28:2	شيا
81:28:5	قوم
81:29:2	شيا
81:29:3	إِلَّا
81:29:5	شيا
81:29:6	اله
81:29:7	ربب
81:29:8	علم
87:1:1	سبح
87:1:2	سمو
87:1:3	ربب
87:1:4	علو
87:2:1	ٱلَّذِى
87:2:2	خلق
87:2:3	سوي
87:3:1	ٱلَّذِى
87:3:2	قدر
87:3:3	هدي
87:4:1	ٱلَّذِى
87:4:2	خرج
87:4:3	رعي
87:5:1	جعل
87:5:2	غثو
87:5:3	حوي
87:6:1	قرا
87:6:3	نسي
87:7:1	إِلَّا
87:7:3	شيا
87:7:4	اله
87:7:6	علم
87:7:7	جهر
87:7:9	خفي
87:8:1	يسر
87:8:2	يسر
87:9:1	ذكر
87:9:3	نفع
87:9:4	ذكر
87:10:1	ذكر
87:10:3	خشي
87:11:1	جنب
87:11:2	شقو
87:12:1	ٱلَّذِى
87:12:2	صلي
87:12:3	نور
87:12:4	كبر
87:13:3	موت
87:13:6	حيي
87:14:2	فلح
87:14:4	زكو
87:15:1	ذكر
87:15:2	سمو
87:15:3	ربب
87:15:4	صلو
87:16:2	اثر
87:16:3	حيي
87:16:4	دنو
87:17:1	اخر
87:17:2	خير
87:17:3	بقي
87:18:4	صحف
87:18:5	اول
87:19:1	صحف
87:19:2	إِبْرَاهِيم
92:1:1	ليل
92:1:2	إِذَا
92:1:3	غشو
92:2:1	نهر
92:2:2	إِذَا
92:2:3	جلو
92:3:2	خلق
92:3:3	ذكر
92:3:4	انث
92:4:2	سعي
92:4:3	شتت
92:5:1	أَمَّا
92:5:3	عطو
92:5:4	وقي
92:6:1	صدق
92:6:2	حسن
92:7:1	يسر
92:7:2	يسر
92:8:1	أَمَّا
92:8:3	بخل
92:8:4	غني
92:9:1	كذب
92:9:2	حسن
92:10:1	يسر
92:10:2	عسر
92:11:2	غني
92:11:4	مول
92:11:5	إِذَا
92:11:6	ردي
92:12:3	هدي
92:13:3	اخر
92:13:4	اول
92:14:1	نذر
92:14:2	نور
92:14:3	لظي
92:15:2	صلي
92:15:3	إِلَّا
92:15:4	شقو
92:16:1	ٱلَّذِى
92:16:2	كذب
92:16:3	ولي
92:17:1	جنب
92:17:2	وقي
92:18:1	ٱلَّذِى
92:18:2	اتي
92:18:3	مول
92:18:4	زكو
92:19:2	احد
92:19:3	عند
92:19:5	نعم
92:19:6	جزي
92:20:1	إِلَّا
92:20:2	بغي
92:20:3	وجه
92:20:4	ربب
92:20:5	علو
92:21:2	رضو
89:1:1	فجر
89:2:1	ليل
89:2:2	عشر
89:3:1	شفع
89:3:2	وتر
89:4:1	ليل
89:4:2	إِذَا
89:4:3	سري
89:5:4	قسم
89:5:6	حجر
89:6:2	راي
89:6:3	كيف
89:6:4	فعل
89:6:5	ربب
89:6:6	عود
89:7:1	إِرَم
89:7:3	عمد
89:8:1	ٱلَّذِى
89:8:3	خلق
89:8:4	مثل
89:8:6	بلد
89:9:2	ٱلَّذِى
89:9:3	جوب
89:9:4	صخر
89:9:5	ودي
89:10:3	وتد
89:11:1	ٱلَّذِى
89:11:2	طغي
89:11:4	بلد
89:12:1	كثر
89:12:3	فسد
89:13:1	صبب
89:13:3	ربب
89:13:4	سوط
89:13:5	عذب
89:14:2	ربب
89:14:3	رصد
89:15:1	أَمَّا
89:15:2	انس
89:15:3	إِذَا
89:15:5	بلو
89:15:6	ربب
89:15:7	كرم
89:15:8	نعم
89:15:9	قول
89:15:10	ربب
89:15:11	كرم
89:16:1	أَمَّا
89:16:2	إِذَا
89:16:4	بلو
89:16:5	قدر
89:16:7	رزق
89:16:8	قول
89:16:9	ربب
89:16:10	هون
89:17:4	كرم
89:17:5	يتم
89:18:2	حضض
89:18:4	طعم
89:18:5	سكن
89:19:1	اكل
89:19:2	ورث
89:19:3	اكل
89:19:4	لمم
89:20:1	حبب
89:20:2	مول
89:20:3	حبب
89:20:4	جمم
89:21:2	إِذَا
89:21:3	دكك
89:21:4	ارض
89:21:5	دكك
89:21:6	دكك
89:22:1	جيا
89:22:2	ربب
89:22:3	ملك
89:22:4	صفف
89:22:5	صفف
89:23:1	جيا
89:23:5	ذكر
89:23:6	انس
89:23:7	اني
89:23:9	ذكر
89:24:1	قول
89:24:3	قدم
89:24:4	حيي
89:25:3	عذب
89:25:4	عذب
89:25:5	احد
89:26:2	وثق
89:26:3	وثق
89:26:4	احد
89:27:2	نفس
89:27:3	طمن
89:28:1	رجع
89:28:2	إِلَىٰ
89:28:3	ربب
89:28:4	رضو
89:28:5	رضو
89:29:1	دخل
89:29:3	عبد
89:30:1	دخل
89:30:2	جنن
93:1:1	ضحو
93:2:1	ليل
93:2:2	إِذَا
93:2:3	سجو
93:3:2	ودع
93:3:3	ربب
93:3:5	قلي
93:4:1	اخر
93:4:2	خير
93:4:5	اول
93:5:2	عطو
93:5:3	ربب
93:5:4	رضو
93:6:2	وجد
93:6:3	يتم
93:6:4	اوي
93:7:1	وجد
93:7:2	ضلل
93:7:3	هدي
93:8:1	وجد
93:8:2	عيل
93:8:3	غني
93:9:1	أَمَّا
93:9:2	يتم
93:9:4	قهر
93:10:1	أَمَّا
93:10:2	سال
93:10:4	نهر
93:11:1	أَمَّا
93:11:2	نعم
93:11:3	ربب
93:11:4	حدث
94:1:2	شرح
94:1:4	صدر
94:2:1	وضع
94:2:3	وزر
94:3:1	ٱلَّذِى
94:3:2	نقض
94:3:3	ظهر
94:4:1	رفع
94:4:3	ذكر
94:5:3	عسر
94:5:4	يسر
94:6:3	عسر
94:6:4	يسر
94:7:1	إِذَا
94:7:2	فرغ
94:7:3	نصب
94:8:1	إِلَىٰ
94:8:2	ربب
94:8:3	رغب
103:1:1	عصر
103:2:2	انس
103:2:4	خسر
103:3:1	إِلَّا
103:3:2	ٱلَّذِى
103:3:3	امن
103:3:4	عمل
103:3:5	صلح
103:3:6	وصي
103:3:7	حقق
103:3:8	وصي
103:3:9	صبر
100:1:1	عدو
100:1:2	ضبح
100:2:1	وري
100:2:2	قدح
100:3:1	غير
100:3:2	صبح
100:4:1	ثور
100:4:3	نقع
100:5:1	وسط
100:5:3	جمع
100:6:2	انس
100:6:3	ربب
100:6:4	كند
100:7:4	شهد
100:8:2	حبب
100:8:3	خير
100:8:4	شدد
100:9:2	علم
100:9:3	إِذَا
100:9:4	بعثر
100:9:7	قبر
100:10:1	حصل
100:10:4	صدر
100:11:2	ربب
100:11:5	خبر
108:1:2	عطو
108:1:3	كثر
108:2:1	صلو
108:2:2	ربب
108:2:3	نحر
108:3:2	شنا
108:3:4	بتر
102:1:1	لهو
102:1:2	كثر
102:2:2	زور
102:2:3	قبر
102:3:3	علم
102:4:4	علم
102:5:3	علم
102:5:4	علم
102:5:5	يقن
102:6:1	راي
102:6:2	جحم
102:7:2	راي
102:7:3	عين
102:7:4	يقن
102:8:2	سال
102:8:5	نعم
107:1:1	راي
107:1:2	ٱلَّذِى
107:1:3	كذب
107:1:4	دين
107:2:2	ٱلَّذِى
107:2:3	دعع
107:2:4	يتم
107:3:2	حضض
107:3:4	طعم
107:3:5	سكن
109:1:1	قول
109:1:3	كفر
109:2:2	عبد
109:2:4	عبد
109:3:3	عبد
109:3:5	عبد
109:4:3	عبد
109:4:5	عبد
109:5:3	عبد
109:5:5	عبد
109:6:2	دين
109:6:4	دين
105:1:2	راي
105:1:3	كيف
105:1:4	فعل
105:1:5	ربب
105:1:6	صحب
105:1:7	فيل
105:2:2	جعل
105:2:3	كيد
105:2:5	ضلل
105:3:1	رسل
105:3:3	طير
105:3:4	ابل
105:4:1	رمي
105:4:2	حجر
105:4:4	سجل
105:5:1	جعل
105:5:2	عصف
105:5:3	اكل
113:1:1	قول
113:1:2	عوذ
113:1:3	ربب
113:1:4	فلق
113:2:2	شرر
113:2:4	خلق
113:3:2	شرر
113:3:3	غسق
113:3:4	إِذَا
113:3:5	وقب
113:4:2	شرر
113:4:3	نفث
113:4:5	عقد
113:5:2	شرر
113:5:3	حسد
113:5:4	إِذَا
113:5:5	حسد
114:1:1	قول
114:1:2	عوذ
114:1:3	ربب
114:1:4	نوس
114:2:1	ملك
114:2:2	نوس
114:3:1	اله
114:3:2	نوس
114:4:2	شرر
114:4:3	وسوس
114:4:4	خنس
114:5:1	ٱلَّذِى
114:5:2	وسوس
114:5:4	صدر
114:5:5	نوس
114:6:2	جنن
114:6:3	نوس
112:1:1	قول
112:1:3	اله
112:1:4	احد
112:2:1	اله
112:2:2	صمد
112:3:2	ولد
112:3:4	ولد
112:4:2	كون
112:4:4	كفا
112:4:5	احد
53:1:1	نجم
53:1:2	إِذَا
53:1:3	هوي
53:2:2	ضلل
53:2:3	صحب
53:2:5	غوي
53:3:2	نطق
53:3:4	هوي
53:4:3	إِلَّا
53:4:4	وحي
53:4:5	وحي
53:5:1	علم
53:5:2	شدد
53:5:3	قوي
53:6:2	مرر
53:6:3	سوي
53:7:2	افق
53:7:3	علو
53:8:2	دنو
53:8:3	دلو
53:9:1	كون
53:9:2	قوب
53:9:3	قوس
53:9:5	دنو
53:10:1	وحي
53:10:2	إِلَىٰ
53:10:3	عبد
53:10:5	وحي
53:11:2	كذب
53:11:3	فاد
53:11:5	راي
53:12:1	مري
53:12:4	راي
53:13:2	راي
53:13:3	نزل
53:13:4	اخر
53:14:1	عند
53:14:2	سدر
53:14:3	نهي
53:15:1	عند
53:15:2	جنن
53:15:3	اوي
53:16:1	إِذ
53:16:2	غشو
53:16:3	سدر
53:16:5	غشو
53:17:2	زيغ
53:17:3	بصر
53:17:5	طغي
53:18:2	راي
53:18:4	ايي
53:18:5	ربب
53:18:6	كبر
53:19:1	راي
53:20:2	ثلث
53:20:3	اخر
53:21:2	ذكر
53:21:4	انث
53:22:2	إِذًا
53:22:3	قسم
53:22:4	ضيز
53:23:3	إِلَّا
53:23:4	سمو
53:23:5	سمو
53:23:7	ابو
53:23:9	نزل
53:23:10	اله
53:23:13	سلط
53:23:15	تبع
53:23:16	إِلَّا
53:23:17	ظنن
53:23:19	هوي
53:23:20	نفس
53:23:22	جيا
53:23:24	ربب
53:23:25	هدي
53:24:1	أَم
53:24:2	انس
53:24:4	مني
53:25:1	اله
53:25:2	اخر
53:25:3	اول
53:26:3	ملك
53:26:5	سمو
53:26:7	غني
53:26:8	شفع
53:26:9	شيا
53:26:10	إِلَّا
53:26:12	بعد
53:26:14	اذن
53:26:15	اله
53:26:17	شيا
53:26:18	رضو
53:27:2	ٱلَّذِى
53:27:4	امن
53:27:5	اخر
53:27:6	سمو
53:27:7	ملك
53:27:8	سمو
53:27:9	انث
53:28:5	علم
53:28:7	تبع
53:28:8	إِلَّا
53:28:9	ظنن
53:28:11	ظنن
53:28:13	غني
53:28:15	حقق
53:28:16	شيا
53:29:1	عرض
53:29:4	ولي
53:29:6	ذكر
53:29:8	رود
53:29:9	إِلَّا
53:29:10	حيي
53:29:11	دنو
53:30:2	بلغ
53:30:4	علم
53:30:6	ربب
53:30:8	علم
53:30:10	ضلل
53:30:12	سبل
53:30:14	علم
53:30:16	هدي
53:31:1	اله
53:31:4	سمو
53:31:7	ارض
53:31:8	جزي
53:31:9	ٱلَّذِى
53:31:10	سوا
53:31:12	عمل
53:31:13	جزي
53:31:14	ٱلَّذِى
53:31:15	حسن
53:31:16	حسن
53:33:1	راي
53:33:2	ٱلَّذِى
53:33:3	ولي
53:34:1	عطو
53:34:2	قلل
53:34:3	كدي
53:35:1	عند
53:35:2	علم
53:35:3	غيب
53:35:5	راي
53:36:1	أَم
53:36:3	نبا
53:36:6	صحف
53:37:1	إِبْرَاهِيم
53:37:2	ٱلَّذِى
53:37:3	وفي
53:38:2	وزر
53:38:3	وزر
53:38:4	وزر
53:38:5	اخر
53:39:2	ليس
53:39:3	انس
53:39:4	إِلَّا
53:39:6	سعي
53:40:2	سعي
53:40:4	راي
53:41:2	جزي
53:41:3	جزي
53:41:4	وفي
53:42:2	إِلَىٰ
53:42:3	ربب
53:42:4	نهي
53:43:3	ضحك
53:43:4	بكي
53:44:3	موت
53:44:4	حيي
53:45:2	خلق
53:45:3	زوج
53:45:4	ذكر
53:45:5	انث
53:46:2	نطف
53:46:3	إِذَا
53:46:4	مني
53:47:3	نشا
53:47:4	اخر
53:48:3	غني
53:48:4	قني
53:49:3	ربب
53:49:4	شعر
53:50:2	هلك
53:50:3	عود
53:50:4	اول
53:51:3	بقي
53:52:1	قوم
53:52:4	قبل
53:52:6	كون
53:52:8	ظلم
53:52:9	طغي
53:53:1	افك
53:53:2	هوي
53:54:1	غشو
53:54:3	غشو
53:55:2	الو
53:55:3	ربب
53:55:4	مري
53:56:2	نذر
53:56:4	نذر
53:56:5	اول
53:57:1	ازف
53:57:2	ازف
53:58:1	ليس
53:58:4	دون
53:58:5	اله
53:58:6	كشف
53:59:3	حدث
53:59:4	عجب
53:60:1	ضحك
53:60:3	بكي
53:61:2	سمد
53:62:1	سجد
53:62:2	اله
53:62:3	عبد
80:1:1	عبس
80:1:2	ولي
80:2:2	جيا
80:2:3	عمي
80:3:2	دري
80:3:4	زكو
80:4:2	ذكر
80:4:3	نفع
80:4:4	ذكر
80:5:1	أَمَّا
80:5:3	غني
80:6:3	صدي
80:7:4	زكو
80:8:1	أَمَّا
80:8:3	جيا
80:8:4	سعي
80:9:2	خشي
80:10:3	لهو
80:11:3	ذكر
80:12:2	شيا
80:12:3	ذكر
80:13:2	صحف
80:13:3	كرم
80:14:1	رفع
80:14:2	طهر
80:15:1	يدي
80:15:2	سفر
80:16:1	كرم
80:16:2	برر
80:17:1	قتل
80:17:2	انس
80:17:4	كفر
80:18:3	شيا
80:18:4	خلق
80:19:2	نطف
80:19:3	خلق
80:19:4	قدر
80:20:2	سبل
80:20:3	يسر
80:21:2	موت
80:21:3	قبر
80:22:2	إِذَا
80:22:3	شيا
80:22:4	نشر
80:23:3	قضي
80:23:5	امر
80:24:1	نظر
80:24:2	انس
80:24:3	إِلَىٰ
80:24:4	طعم
80:25:2	صبب
80:25:3	موه
80:25:4	صبب
80:26:2	شقق
80:26:3	ارض
80:26:4	شقق
80:27:1	نبت
80:27:3	حبب
80:28:1	عنب
80:28:2	قضب
80:29:1	زيت
80:29:2	نخل
80:30:1	حدق
80:30:2	غلب
80:31:1	فكه
80:31:2	ابب
80:32:1	متع
80:32:3	نعم
80:33:1	إِذَا
80:33:2	جيا
80:33:3	صخخ
80:34:1	يوم
80:34:2	فرر
80:34:3	مرا
80:34:5	اخو
80:35:1	امم
80:35:2	ابو
80:36:1	صحب
80:36:2	بني
80:37:1	كلل
80:37:2	مرا
80:37:5	شان
80:37:6	غني
80:38:1	وجه
80:38:3	سفر
80:39:1	ضحك
80:39:2	بشر
80:40:1	وجه
80:40:4	غبر
80:41:1	رهق
80:41:2	قتر
80:42:3	كفر
80:42:4	فجر
97:1:2	نزل
97:1:4	ليل
97:1:5	قدر
97:2:2	دري
97:2:4	ليل
97:2:5	قدر
97:3:1	ليل
97:3:2	قدر
97:3:3	خير
97:3:5	الف
97:3:6	شهر
97:4:1	نزل
97:4:2	ملك
97:4:3	روح
97:4:5	اذن
97:4:6	ربب
97:4:8	كلل
97:4:9	امر
97:5:1	سلم
97:5:4	طلع
97:5:5	فجر
91:1:1	شمس
91:1:2	ضحو
91:2:1	قمر
91:2:2	إِذَا
91:2:3	تلو
91:3:1	نهر
91:3:2	إِذَا
91:3:3	جلو
91:4:1	ليل
91:4:2	إِذَا
91:4:3	غشو
91:5:1	سمو
91:5:3	بني
91:6:1	ارض
91:6:3	طحو
91:7:1	نفس
91:7:3	سوي
91:8:1	لهم
91:8:2	فجر
91:8:3	وقي
91:9:2	فلح
91:9:4	زكو
91:10:2	خيب
91:10:4	دسو
91:11:1	كذب
91:11:3	طغي
91:12:1	إِذ
91:12:2	بعث
91:12:3	شقو
91:13:1	قول
91:13:3	رسل
91:13:4	اله
91:13:5	نوق
91:13:6	اله
91:13:7	سقي
91:14:1	كذب
91:14:2	عقر
91:14:3	دمدم
91:14:5	ربب
91:14:6	ذنب
91:14:7	سوي
91:15:2	خوف
91:15:3	عقب
85:1:1	سمو
85:1:3	برج
85:2:1	يوم
85:2:2	وعد
85:3:1	شهد
85:3:2	شهد
85:4:1	قتل
85:4:2	صحب
85:4:3	خدد
85:5:1	نور
85:5:3	وقد
85:6:1	إِذ
85:6:4	قعد
85:7:4	فعل
85:7:5	امن
85:7:6	شهد
85:8:2	نقم
85:8:4	إِلَّا
85:8:6	امن
85:8:7	اله
85:8:8	عزز
85:8:9	حمد
85:9:1	ٱلَّذِى
85:9:3	ملك
85:9:4	سمو
85:9:5	ارض
85:9:6	اله
85:9:8	كلل
85:9:9	شيا
